"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C4,C15,C16,C17","0.1uF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","5",""
"C2,C3","10uF/16V","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2",""
"C5","1uF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C6,C7","6.8nF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C8","22nF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C9","220uF","~","Capacitor_SMD:CP_Elec_8x6.2","1",""
"C10,C14","10nF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C11,C12","18pF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C13","4.7uF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C18","22uF","~","Capacitor_SMD:CP_Elec_6.3x5.4","1",""
"C19","1nF","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"D1","D_Schottky","~","Diode_SMD:Nexperia_CFP3_SOD-123W","1",""
"FL1","BLM18PG121SH1D","","Imported:BEADC1608X95N","1",""
"J1","Conn_02x03_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1",""
"L1","12LRS334C","12LRS334C","Imported:IND_MURATA_1200LRS_MUR","1",""
"R1,R10,R16,R17","4.7K","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"R2,R3","330","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R4","10R","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R5,R6,R13,R14","49R9","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"R7,R8,R9,R11","3.3R","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"R12","1M","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R15","12.4K","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"U1","W5500","","Imported:48LQFP_W5500_WIZ","1",""
"U2","ARJM11C7-114-BA-EW2","ARJM11C7-114-BA-EW2","Imported:ARJM11C7-114-BA-EW2_ABR-fixed","1",""
"U3","LM2574-3.3YN","LM2574-3.3YN","Imported:PDIP-8_MCL","1",""
"U4","ATTINY85-20SU","ATTINY85-20SU","Imported:8S2_ATM","1",""
"Y2","ABLS7M2-25.000MHZ-D-2Y-T","http://abracon.com/Resonators/ABLS7M2.pdf","Imported:ABLS7M225000MHZD2YT","1",""
